country,name,full_name,symbol,currency,class,market
united states,NQ US Large Cap Pharmaceuticals & Biotechnology,NASDAQ US Large Cap Pharmaceuticals & Biotechnology,NQUSL4570,USD,other_indices,global_indices
united states,NQ US Large Cap Medical Supplies,NASDAQ US Large Cap Medical Supplies,NQUSL4537,USD,other_indices,global_indices
united states,NQ US Large Cap Medical Equipment,NASDAQ US Large Cap Medical Equipment,NQUSL4535,USD,other_indices,global_indices
united states,NQ US Large Cap Health Care Providers,NASDAQ US Large Cap Health Care Providers,NQUSL4533,USD,other_indices,global_indices
united states,NQ US Large Cap Health Care Equipment & Services,NASDAQ US Large Cap Health Care Equipment & Services,NQUSL4530,USD,other_indices,global_indices
united states,NQ US Large Cap Health Care,NASDAQ US Large Cap Health Care,NQUSL4000,USD,other_indices,global_indices
united states,NQ US Large Cap Personal Goods,NASDAQ US Large Cap Personal Goods,NQUSL3760,USD,other_indices,global_indices
united states,NQ US Large Cap Personal & Household Goods,NASDAQ US Large Cap Personal & Household Goods,NQUSL3700,USD,other_indices,global_indices
united states,NQ US Large Cap Food Products,NASDAQ US Large Cap Food Products,NQUSL3577,USD,other_indices,global_indices
united states,NQ US Large Cap Aerospace & Defense,NASDAQ US Large Cap Aerospace & Defense,NQUSL2710,USD,other_indices,global_indices
united states,NQ US Large Cap Industrial G&S,NASDAQ US Large Cap Industrial G&S,NQUSL2700,USD,other_indices,global_indices
united states,NQ US Large Cap Industrials,NASDAQ US Large Cap Industrials,NQUSL2000,USD,other_indices,global_indices
united states,NQ US Large Cap Industrial Metals & Mining,NASDAQ US Large Cap Industrial Metals & Mining,NQUSL1750,USD,other_indices,global_indices
united states,NQ US Benchmark Mortgage Finance,NASDAQ US Benchmark Mortgage Finance,NQUSB8779,USD,other_indices,global_indices
united states,NQ US Benchmark Investment Services,NASDAQ US Benchmark Investment Services,NQUSB8777,USD,other_indices,global_indices
united states,NQ US Benchmark Specialty Finance,NASDAQ US Benchmark Specialty Finance,NQUSB8775,USD,other_indices,global_indices
united states,NQ US Benchmark Consumer Finance,NASDAQ US Benchmark Consumer Finance,NQUSB8773,USD,other_indices,global_indices
united states,NQ US Benchmark Asset Managers,NASDAQ US Benchmark Asset Managers,NQUSB8771,USD,other_indices,global_indices
united states,NQ US Benchmark Financial Services Sector,NASDAQ US Benchmark Financial Services Sector,NQUSB8770,USD,other_indices,global_indices
united states,NQ US Benchmark Hotel & Lodging REITs,NASDAQ US Benchmark Hotel & Lodging REITs,NQUSB8677,USD,other_indices,global_indices
united states,NQ US Benchmark Mortgage REITs,NASDAQ US Benchmark Mortgage REITs,NQUSB8676,USD,other_indices,global_indices
united states,NQ US Benchmark Specialty REITs,NASDAQ US Benchmark Specialty REITs,NQUSB8675,USD,other_indices,global_indices
united states,NQ US Benchmark Diversified REITs,NASDAQ US Benchmark Diversified REITs,NQUSB8674,USD,other_indices,global_indices
united states,NQ US Benchmark Residential REITs,NASDAQ US Benchmark Residential REITs,NQUSB8673,USD,other_indices,global_indices
united states,NQ US Benchmark Retail REITs,NASDAQ US Benchmark Retail REITs,NQUSB8672,USD,other_indices,global_indices
united states,NQ US Benchmark Industrial & Office REITs,NASDAQ US Benchmark Industrial & Office REITs,NQUSB8671,USD,other_indices,global_indices
united states,NQ US Benchmark Real Estate Investment Trusts,NASDAQ US Benchmark Real Estate Investment Trusts,NQUSB8670,USD,other_indices,global_indices
united states,NQ US Benchmark Real Estate Services,NASDAQ US Benchmark Real Estate Services,NQUSB8637,USD,other_indices,global_indices
united states,NQ US Benchmark Software & Computer Services,NASDAQ US Benchmark Software & Computer Services,NQUSB9530,USD,other_indices,global_indices
united states,NQ US Large Cap General Retailers,NASDAQ US Large Cap General Retailers,NQUSL5370,USD,other_indices,global_indices
united states,NQ US Benchmark Computer Services,NASDAQ US Benchmark Computer Services,NQUSB9533,USD,other_indices,global_indices
united states,NQ US Benchmark Software,NASDAQ US Benchmark Software,NQUSB9537,USD,other_indices,global_indices
united states,NQ US Large Cap Basic Resources,NASDAQ US Large Cap Basic Resources,NQUSL1700,USD,other_indices,global_indices
united states,NQ US Large Cap Specialty Chemicals,NASDAQ US Large Cap Specialty Chemicals,NQUSL1357,USD,other_indices,global_indices
united states,NQ US Large Cap Commodity Chemicals,NASDAQ US Large Cap Commodity Chemicals,NQUSL1353,USD,other_indices,global_indices
united states,NQ US Large Cap Chemicals,NASDAQ US Large Cap Chemicals,NQUSL1300,USD,other_indices,global_indices
united states,NQ US Large Cap Basic Materials,NASDAQ US Large Cap Basic Materials,NQUSL1000,USD,other_indices,global_indices
united states,NQ US Large Cap Oil Equipment & Services,NASDAQ US Large Cap Oil Equipment & Services,NQUSL0573,USD,other_indices,global_indices
united states,NQ US Large Cap Integrated Oil & Gas,NASDAQ US Large Cap Integrated Oil & Gas,NQUSL0537,USD,other_indices,global_indices
united states,NQ US Large Cap Exploration & Production,NASDAQ US Large Cap Exploration & Production,NQUSL0533,USD,other_indices,global_indices
united states,NQ US Large Cap Oil & Gas Producers,NASDAQ US Large Cap Oil & Gas Producers,NQUSL0530,USD,other_indices,global_indices
united states,NQ US Large Cap Oil & Gas,NASDAQ US Large Cap Oil & Gas,NQUSL0001,USD,other_indices,global_indices
united states,NQ Chaikin Power US Small Cap,NASDAQ Chaikin Power US Small Cap,NQUSCHK,USD,other_indices,global_indices
united states,NQ US Benchmark Telecommunications Equipment,NASDAQ US Benchmark Telecommunications Equipment,NQUSB9578,USD,other_indices,global_indices
united states,NQ US Benchmark Semiconductors,NASDAQ US Benchmark Semiconductors,NQUSB9576,USD,other_indices,global_indices
united states,NQ US Benchmark Computer Hardware,NASDAQ US Benchmark Computer Hardware,NQUSB9572,USD,other_indices,global_indices
united states,NQ US Benchmark Technology Hardware & Equipment,NASDAQ US Benchmark Technology Hardware & Equipment,NQUSB9570,USD,other_indices,global_indices
united states,NQ US Benchmark Internet,NASDAQ US Benchmark Internet,NQUSB9535,USD,other_indices,global_indices
united states,NQ US Mid Cap Health Care,NASDAQ US Mid Cap Health Care,NQUSM4000,USD,other_indices,global_indices
united states,NQ US Large Cap Apparel Retailers,NASDAQ US Large Cap Apparel Retailers,NQUSL5371,USD,other_indices,global_indices
